staff_id,first_name,last_name,phone,email,salary
1,Miłosz,Wojnicki,531439257,Milosz.Wojnicki@dragons.com,5140.0
2,Nikodem,Pilarz,733245438,Nikodem.Pilarz@dragons.com,4310.0
3,Jan,Błotny,571731374,Jan.Blotny@dragons.com,5140.0
4,Bartosz,Hetman,787450473,Bartosz.Hetman@dragons.com,5140.0
5,Zuzanna,Brzozowska,784416191,Zuzanna.Brzozowska@dragons.com,5140.0
6,Aleksander,Szymaszczyk,883236015,Aleksander.Szymaszczyk@dragons.c,6530.0
7,Weronika,Bloch,571903455,Weronika.Bloch@dragons.com,4310.0
8,Kacper,Reszke,608033877,Kacper.Reszke@dragons.com,4310.0
9,Kinga,Adamowicz,668559804,Kinga.Adamowicz@dragons.com,6530.0
10,Tymoteusz,Wieczorek,698338570,Tymoteusz.Wieczorek@dragons.com,8320.0
11,Mateusz,Kowalski,451320056,Mateusz.Kowalski@dragons.com,4310.0
12,Nikodem,Pryczek,664180325,Nikodem.Pryczek@dragons.com,8320.0
13,Jakub,Kozioł,665497988,Jakub.Koziol@dragons.com,8320.0
14,Oliwia,Gollasch,515717071,Oliwia.Gollasch@dragons.com,5140.0
15,Antonina,Hemmerling,723786676,Antonina.Hemmerling@dragons.com,6530.0
16,Aleksander,Magdaleński,503858822,Aleksander.Magdalenski@dragons.c,4310.0
17,Filip,Pawlaczyk,888147820,Filip.Pawlaczyk@dragons.com,4310.0
